First Received;Last Received;FRxLR(dias);date_update;Sla OM;Nome do Mês;Week;Nome do Dia;consignment_no;station_name;Status_OM;Status_SPX;OM x SPX;spx_status_name;Qtd_Received;valor;last_user;Baixa justificada;Ano;Station_id
03/07/2024;03/07/2024;0;08/07/2024;5;JULHO;W27;Quarta-Feira;BR240403944325L;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;48,9;nubia.josafa0609@shopeemobile-external.com;;2024;5027
03/07/2024;03/07/2024;0;08/07/2024;5;JULHO;W27;Quarta-Feira;BR240701922504W;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;58,71;beatriz.reder0609@shopeemobile-external.com;;2024;5027
03/07/2024;03/07/2024;0;08/07/2024;5;JULHO;W27;Quarta-Feira;BR2423121405612;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;76,49;jean.junio0802@shopeemobile-external.com;;2024;5027
03/07/2024;05/07/2024;2;08/07/2024;3;JULHO;W27;Quarta-Feira;BR242555740061Y;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;3;10;jean.junio0802@shopeemobile-external.com;;2024;5027
03/07/2024;04/07/2024;1;08/07/2024;4;JULHO;W27;Quarta-Feira;BR242763057234Z;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;55,98;guilherme.souza2102@shopeemobile-external.com;;2024;5027
03/07/2024;05/07/2024;2;08/07/2024;3;JULHO;W27;Quarta-Feira;BR2474190010724;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;3;80,9;maria.lima0204@shopeemobile-external.com;;2024;5027
03/07/2024;04/07/2024;1;08/07/2024;4;JULHO;W27;Quarta-Feira;BR2488252182501;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;38;glaucia.braulino0609@shopeemobile-external.com;;2024;5027
03/07/2024;04/07/2024;1;08/07/2024;4;JULHO;W27;Quarta-Feira;BR249833084204Q;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;29,9;crislaine.duarte0305@shopeemobile-external.com;;2024;5027
04/07/2024;04/07/2024;0;08/07/2024;4;JULHO;W27;Quinta-Feira;BR240018020694Q;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;43,89;jessica.silva0204@shopeemobile-external.com;;2024;5027
04/07/2024;05/07/2024;1;08/07/2024;3;JULHO;W27;Quinta-Feira;BR242570943341K;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;195;marcos.henrique0304@shopeemobile-external.com;;2024;5027
04/07/2024;05/07/2024;1;08/07/2024;3;JULHO;W27;Quinta-Feira;BR242746813702R;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;13,8;maria.lima0204@shopeemobile-external.com;;2024;5027
04/07/2024;06/07/2024;2;08/07/2024;2;JULHO;W27;Quinta-Feira;BR247657217842A;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;3;39;aline.aroeira0204@shopeemobile-external.com;;2024;5027
04/07/2024;04/07/2024;0;08/07/2024;4;JULHO;W27;Quinta-Feira;BR247672733736O;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;122,4;aline.aroeira0204@shopeemobile-external.com;;2024;5027
04/07/2024;05/07/2024;1;08/07/2024;3;JULHO;W27;Quinta-Feira;BR248244719197V;LM Hub_MG_Contagem;Damaged;Damaged;Ok;LMHub_Received;2;52,9;tulio.viana2602@shopeemobile-external.com;;2024;5027
